"ian","soil","stn_code","period","Yield, stress","Yield, no stress","Low market yield, stress","Low market yield, no stress","High market yield, stress","High market yield, no stress","Gains.total","Gains.market.low","Gains.market.high","min.temp","max.temp","precip.cum","windspeed","vapour.pressure","radiation","GDD","station","cetm","precip_e","CWR","irrigated","Gross Benefit, low","Gross Benefit, high","pivot I","pivot II","hose reel + sprinkler","hose reel + boom cart","costs.yearly, pivot I","costs.cum, pivot I","rot1costs.yearly, pivot I","rot1costs.cum, pivot I","rot2costs.yearly, pivot I","rot2costs.cum, pivot I","rot3costs.yearly, pivot I","rot3costs.cum, pivot I","costs.yearly, pivot II","costs.cum, pivot II","rot1costs.yearly, pivot II","rot1costs.cum, pivot II","rot2costs.yearly, pivot II","rot2costs.cum, pivot II","rot3costs.yearly, pivot II","rot3costs.cum, pivot II","costs.yearly, hose reel + sprinkler","costs.cum, hose reel + sprinkler","rot1costs.yearly, hose reel + sprinkler","rot1costs.cum, hose reel + sprinkler","rot2costs.yearly, hose reel + sprinkler","rot2costs.cum, hose reel + sprinkler","rot3costs.yearly, hose reel + sprinkler","rot3costs.cum, hose reel + sprinkler","costs.yearly, hose reel + boom cart","costs.cum, hose reel + boom cart","rot1costs.yearly, hose reel + boom cart","rot1costs.cum, hose reel + boom cart","rot2costs.yearly, hose reel + boom cart","rot2costs.cum, hose reel + boom cart","rot3costs.yearly, hose reel + boom cart","rot3costs.cum, hose reel + boom cart","gross.cum, low","gross.cum, high","rot1gross.yearly, low","rot1gross.yearly, high","rot1gross.cum, low","rot1gross.cum, high","rot2gross.yearly, low","rot2gross.yearly, high","rot2gross.cum, low","rot2gross.cum, high","rot3gross.yearly, low","rot3gross.yearly, high","rot3gross.cum, low","rot3gross.cum, high"
2001,"CTW","S","GS",23.71036,43.32871,16.597252,30.330097,21.339324,38.995839,19.61835,13.732845,17.656515,13.8179838709677,22.9352419354839,142.7,4.28770245956156,16.5045706436959,17.1901436689486,1635.25,"SUMMERSIDE",263.4577,142.7,120.7577,TRUE,5505.7722174,7078.8499938,262.965780921053,56.4065572368421,564.065572368421,213.709350657895,8085.96578092105,8085.96578092105,8085.96578092105,8085.96578092105,0,0,0,0,6381.40655723684,6381.40655723684,6381.40655723684,6381.40655723684,0,0,0,0,10865.0655723684,10865.0655723684,10865.0655723684,10865.0655723684,0,0,0,0,10775.7093506579,10775.7093506579,10775.7093506579,10775.7093506579,0,0,0,0,5505.7722174,7078.8499938,5505.7722174,7078.8499938,5505.7722174,7078.8499938,0,0,0,0,0,0,0,0
2002,"CTW","S","GS",39.86977,43.09909,27.908839,30.169363,35.882793,38.789181,3.22931999999999,2.260524,2.90638799999999,12.6538978494624,21.1956720430108,355.6,4.16568822723495,14.9518598208566,16.6625391948447,1459.45,"SUMMERSIDE",344.767,355.6,-10.833,FALSE,0,0,0,0,0,0,0,8085.96578092105,0,8085.96578092105,0,0,0,0,0,6381.40655723684,0,6381.40655723684,0,0,0,0,0,10865.0655723684,0,10865.0655723684,0,0,0,0,0,10775.7093506579,0,10775.7093506579,0,0,0,0,5505.7722174,7078.8499938,0,0,5505.7722174,7078.8499938,0,0,0,0,0,0,0,0
2003,"CTW","S","GS",40.79945,43.34584,28.559615,30.342088,36.719505,39.011256,2.54639,1.782473,2.291751,13.7502419354839,22.7022580645161,275.7,4.32569046737832,16.6054631530596,16.9506087865304,1616.5,"SUMMERSIDE",350.51985,275.7,74.81985,TRUE,714.629075160001,918.808810920002,162.930068092105,34.9487457236842,349.487457236842,132.41144506579,162.930068092105,8248.89584901316,0,8085.96578092105,0,0,162.930068092105,162.930068092105,34.9487457236842,6416.35530296053,0,6381.40655723684,0,0,34.9487457236842,34.9487457236842,349.487457236842,11214.5530296053,0,10865.0655723684,0,0,349.487457236842,349.487457236842,132.41144506579,10908.1207957237,0,10775.7093506579,0,0,132.41144506579,132.41144506579,6220.40129256,7997.65880472,0,0,5505.7722174,7078.8499938,0,0,0,0,714.629075160001,918.808810920002,714.629075160001,918.808810920002
2004,"CTW","S","GS",38.85445,40.48716,27.198115,28.341012,34.969005,36.438444,1.63271,1.142897,1.469439,13.0812096774194,20.8255376344086,301.3,4.63933492709717,15.3097389131388,15.6770462347669,1463.75,"SUMMERSIDE",314.24898,301.3,12.94898,TRUE,458.210265240001,589.127483880001,28.1981077631579,6.04853671052632,60.4853671052632,22.9162869736842,28.1981077631579,8277.09395677632,28.1981077631579,8114.16388868421,0,0,0,162.930068092105,6.04853671052632,6422.40383967105,6.04853671052632,6387.45509394737,0,0,0,34.9487457236842,60.4853671052632,11275.0383967105,60.4853671052632,10925.5509394737,0,0,0,349.487457236842,22.9162869736842,10931.0370826974,22.9162869736842,10798.6256376316,0,0,0,132.41144506579,6678.6115578,8586.7862886,458.210265240001,589.127483880001,5963.98248264,7667.97747768,0,0,0,0,0,0,714.629075160001,918.808810920002
2005,"CTW","S","GS",34.68052,42.23464,24.276364,29.564248,31.212468,38.011176,7.55412,5.28788399999999,6.798708,13.2628225806452,21.4875,314.4,4.78699508266114,16.0436453026786,16.0591293215295,1512.9,"SUMMERSIDE",342.58552,314.4,28.18552,TRUE,2120.01845328,2725.73801136,61.3776784210526,13.1656047368421,131.656047368421,49.8809531578947,61.3776784210526,8338.47163519737,0,8114.16388868421,7884.37767842105,7884.37767842105,0,162.930068092105,13.1656047368421,6435.56944440789,0,6387.45509394737,6338.16560473684,6338.16560473684,0,34.9487457236842,131.656047368421,11406.6944440789,0,10925.5509394737,10432.6560473684,10432.6560473684,0,349.487457236842,49.8809531578947,10980.9180358553,0,10798.6256376316,10611.8809531579,10611.8809531579,0,132.41144506579,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,2120.01845328,2725.73801136,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2006,"CTW","S","GS",44.7664,44.78294,31.33648,31.348058,40.28976,40.304646,0.0165400000000062,0.0115780000000072,0.0148860000000042,13.3616129032258,21.827876344086,376.9,4.65154488727858,16.803545785357,16.2422417362605,1539.25,"SUMMERSIDE",335.84657,376.9,-41.05343,FALSE,0,0,0,0,0,0,0,8338.47163519737,0,8114.16388868421,0,7884.37767842105,0,162.930068092105,0,6435.56944440789,0,6387.45509394737,0,6338.16560473684,0,34.9487457236842,0,11406.6944440789,0,10925.5509394737,0,10432.6560473684,0,349.487457236842,0,10980.9180358553,0,10798.6256376316,0,10611.8809531579,0,132.41144506579,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,0,0,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2007,"CTW","S","GS",49.28965,49.28965,34.502755,34.502755,44.360685,44.360685,0,0,0,11.7982795698925,21.3543548387097,306.6,4.56552617347308,15.2243939814964,17.3857423506035,1417,"SUMMERSIDE",335.72206,306.6,29.12206,TRUE,0,0,63.4171174999999,13.6030675,136.030675,51.5383825,63.4171174999999,8401.88875269737,63.4171174999999,8177.58100618421,0,7884.37767842105,0,162.930068092105,13.6030675,6449.17251190789,13.6030675,6401.05816144737,0,6338.16560473684,0,34.9487457236842,136.030675,11542.7251190789,136.030675,11061.5816144737,0,10432.6560473684,0,349.487457236842,51.5383825,11032.4564183553,51.5383825,10850.1640201316,0,10611.8809531579,0,132.41144506579,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,0,0,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2008,"CTW","S","GS",46.50281,47.04976,32.551967,32.934832,41.852529,42.344784,0.546950000000002,0.382865000000002,0.492255,12.2163440860215,20.7075,348.01,4.65492913027915,15.4579916584465,16.3740726770655,1402.4,"SUMMERSIDE",300.25223,348.01,-47.75777,FALSE,0,0,0,0,0,0,0,8401.88875269737,0,8177.58100618421,0,7884.37767842105,0,162.930068092105,0,6449.17251190789,0,6401.05816144737,0,6338.16560473684,0,34.9487457236842,0,11542.7251190789,0,11061.5816144737,0,10432.6560473684,0,349.487457236842,0,11032.4564183553,0,10850.1640201316,0,10611.8809531579,0,132.41144506579,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,0,0,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2009,"CTW","S","GS",46.22527,46.22527,32.357689,32.357689,41.602743,41.602743,0,0,0,12.1788172043011,21.334435483871,501.78,4.62434807948921,15.6215162088834,17.117100192217,1438.3,"SUMMERSIDE",322.01213,501.78,-179.76787,FALSE,0,0,0,0,0,0,0,8401.88875269737,0,8177.58100618421,0,7884.37767842105,7823,7985.93006809211,0,6449.17251190789,0,6401.05816144737,0,6338.16560473684,6325,6359.94874572368,0,11542.7251190789,0,11061.5816144737,0,10432.6560473684,10301,10650.4874572368,0,11032.4564183553,0,10850.1640201316,0,10611.8809531579,10562,10694.4114450658,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,0,0,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2010,"CTW","S","GS",47.13595,47.13595,32.995165,32.995165,42.422355,42.422355,0,0,0,12.274435483871,21.6662903225806,446.91,4.48251730183635,15.8355816299829,17.3138732473931,1464.95,"SUMMERSIDE",356.34482,446.91,-90.5651800000001,FALSE,0,0,0,0,0,0,0,8401.88875269737,0,8177.58100618421,0,7884.37767842105,0,7985.93006809211,0,6449.17251190789,0,6401.05816144737,0,6338.16560473684,0,6359.94874572368,0,11542.7251190789,0,11061.5816144737,0,10432.6560473684,0,10650.4874572368,0,11032.4564183553,0,10850.1640201316,0,10611.8809531579,0,10694.4114450658,8798.63001108,11312.52429996,0,0,5963.98248264,7667.97747768,0,0,2120.01845328,2725.73801136,0,0,714.629075160001,918.808810920002
2011,"CTW","S","GS",45.92675,45.92878,32.148725,32.150146,41.334075,41.335902,0.00203000000000486,0.00142100000000056,0.0018270000000058,11.9776075268817,21.0606720430108,273.1,4.71799652182571,15.4306940011657,16.8791868605313,1409.7,"SUMMERSIDE",321.81691,273.1,48.71691,TRUE,0.569707320000225,0.732480840002324,106.087481644737,22.7559250657895,227.559250657895,86.2161104605263,106.087481644737,8507.97623434211,0,8177.58100618421,106.087481644737,7990.46516006579,0,7985.93006809211,22.7559250657895,6471.92843697368,0,6401.05816144737,22.7559250657895,6360.92152980263,0,6359.94874572368,227.559250657895,11770.2843697368,0,11061.5816144737,227.559250657895,10660.2152980263,0,10650.4874572368,86.2161104605263,11118.6725288158,0,10850.1640201316,86.2161104605263,10698.0970636184,0,10694.4114450658,8799.1997184,11313.2567808,0,0,5963.98248264,7667.97747768,0.569707320000225,0.732480840002324,2120.5881606,2726.4704922,0,0,714.629075160001,918.808810920002
2012,"CTW","S","GS",35.33868,43.26127,24.737076,30.282889,31.804812,38.935143,7.92259000000001,5.54581300000001,7.13033100000001,12.9508064516129,22.3393010752688,347.4,4.68715924389209,15.7662504140472,17.2734228704347,1547.75,"SUMMERSIDE",345.69988,347.4,-1.70011999999997,FALSE,0,0,0,0,0,0,0,8507.97623434211,0,8177.58100618421,0,7990.46516006579,0,7985.93006809211,0,6471.92843697368,0,6401.05816144737,0,6360.92152980263,0,6359.94874572368,0,11770.2843697368,0,11061.5816144737,0,10660.2152980263,0,10650.4874572368,0,11118.6725288158,0,10850.1640201316,0,10698.0970636184,0,10694.4114450658,8799.1997184,11313.2567808,0,0,5963.98248264,7667.97747768,0,0,2120.5881606,2726.4704922,0,0,714.629075160001,918.808810920002
2013,"CTW","S","GS",40.79105,45.76384,28.553735,32.034688,36.711945,41.187456,4.97279,3.48095300000001,4.475511,12.7949462365591,22.3044623655914,322.7,4.6654499918737,15.6756476945004,17.4926094501221,1535.5,"SUMMERSIDE",339.97064,322.7,17.27064,TRUE,1395.58367676,1794.32187012,37.6090910526316,8.06720684210527,80.6720684210527,30.5644878947369,37.6090910526316,8545.58532539474,37.6090910526316,8215.19009723684,0,7990.46516006579,0,7985.93006809211,8.06720684210527,6479.99564381579,8.06720684210527,6409.12536828947,0,6360.92152980263,0,6359.94874572368,80.6720684210527,11850.9564381579,80.6720684210527,11142.2536828947,0,10660.2152980263,0,10650.4874572368,30.5644878947369,11149.2370167105,30.5644878947369,10880.7285080263,0,10698.0970636184,0,10694.4114450658,10194.78339516,13107.57865092,1395.58367676,1794.32187012,7359.5661594,9462.2993478,0,0,2120.5881606,2726.4704922,0,0,714.629075160001,918.808810920002
